package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,isDuringHandoverForIMSBySim,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean isDuringHandoverForIMSBySim(int)>,1066,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,isPossibleW2LHOAfterCallEnd,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean isPossibleW2LHOAfterCallEnd()>,1146,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,isPossibleW2LHOAfterCallEndBySim,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean isPossibleW2LHOAfterCallEndBySim(int)>,1224,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,removeListener,<com.sec.epdg.IEpdgManager$Stub$Proxy: void removeListener(com.sec.epdg.IEpdgHandoverListener)>,1305,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,removeListenerBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: void removeListenerBySim(com.sec.epdg.IEpdgHandoverListener,int)>",1379,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,sendEventToStateMachine,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int sendEventToStateMachine(int,int,android.os.IBinder)>",1457,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,sendEventToStateMachineBySim,"<com.sec.epdg.IEpdgManager$Stub$Proxy: int sendEventToStateMachineBySim(int,int,android.os.IBinder,int)>",1547,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,setEmergencyQualifiedNetwork,"<com.sec.epdg.IEpdgManager$Stub$Proxy: void setEmergencyQualifiedNetwork(int,int)>",1638,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,setEpdgNotAvailableDuringEmergencyCall,<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean setEpdgNotAvailableDuringEmergencyCall(int)>,1714,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
com.sec.epdg.IEpdgManager,no,EpdgManager,com.sec.epdg.IEpdgManager$Stub$Proxy,setReleaseCallBeforeHO,"<com.sec.epdg.IEpdgManager$Stub$Proxy: boolean setReleaseCallBeforeHO(int,boolean)>",1796,v2,invoke,"invoke-virtual {v0, v2}, Landroid/os/Parcel;->writeInterfaceToken(Ljava/lang/String;)V",/artifact/work/samsung/smali/EpdgManager/com/sec/epdg/IEpdgManager$Stub$Proxy.smali
